WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
warblers,                6     3     9     8    33   365   169     0     0    -8       1
warblers,                6     3     9     8    36   365   329     3     3    -3       1
warblers,                6     3     9     8    41   365   182     8     8    -5       1
brilliant                6     3     9     9    51   367   258     4     4   -10       7
orange                   6     3     6     6    58   368   228     1     1    -7       2
orange                   6     3     6     6    60   368   149     3     3    -2       2
American                 6     3     8     8    71   371   234     0     0   -11      16
American                 6     3     8     8    74   371   128     3     3    -3      16
oyster-catchers,         6     4    16    15     7   372   258     7     7   -99     -99
oyster-catchers,         6     4    16    15     5   372   124     5     5     2     -99
oyster-catchers,         6     4    16    15    12   372   223    12    12    -7     -99
glistening               6     4    10    10    25   374   209     4     4   -13       1
silver                   6     4     6     6    34   375   263     2     2    -9       5
hundreds                 6     4     8     8    45   377    62     3     3   -11       6
*Blink                   6   -99     8     8   -99   -99   111   -99   -99   -99     -99
dolphins                 6     4     8     8    54   379    56     0     0   -99       1
dolphins                 6     4     8     8    62   379   311     8     8    -8       1
swooping                 6     4     8     8    67   380   142     4     4    -5       1
round                    6     4     5     5    72   381   124     0     0    -5      11
in                       6     5     2     2    12   384   170     2     2   -99    1091
in                       6     5     2     2    10   384   160     0     0     2    1091
dawn                     6     5     4     4    21   386   312     4     4   -11       3
spent                    6     5     5     5    37   389   166     1     1   -16      15
eight                    6     5     5     5    46   390   258     4     4    -9       6
in                       6     5     2     2    55   392   168     2     2    -9    1091
aboard                   6     5     6     6    65   394   191     4     4   -10       2
boat                     6     5     4     4    70   396   267     0     0    -5       8
aboard                   6     5     6     6    67   394   166     6     6     3       2
called                   7     1     6     6     3   397   204     3     3     0      22
Sun,                     7     1     4     3    14   399   187     0     0   -11       2
Tropic                   7     1     6     6    13   398   176     6     6     1       1
Tropic                   7     1     6     6    10   398   340     3     3     3       1
visiting                 7     1     8     8    27   400   222     8     8   -17       4
parts                    7     1     5     5    37   402   136     5     5   -10       7
*Blink                   7   -99     5     5   -99   -99    77   -99   -99   -99     -99
islands.                 7     1     8     7    49   405   243     4     4   -99       7
lived,                   7     1     6     5    60   407   258     3     3   -11       6
ate                      7     1     3     3    66   408   172     2     2    -6       2
slept                    7     1     5     5    74   410   171     2     2    -8       1
slept                    7     1     5     5    77   410    70     5     5    -3       1
boat                     7     2     4     4     6   413   208     2     2   -99       8
two                      7     2     3     3    25   417   304     0     0   -19      43
three                    7     2     5     5    36   419   253     4     4   -11      28
day,                     7     2     4     3    48   422   210     2     2   -12      35
walk                     7     2     4     4    58   424   169     4     4   -10       5
